,RV,HAR,RF
1983-07-31,7.185e-05,0.0001155391026090677,9.962348875628858e-05
1983-08-31,6.021e-05,0.00011078540196192223,9.416282544208664e-05
1983-09-30,5.4059999999999994e-05,0.00010984053459424233,0.00014382934748583036
1983-10-31,8.529e-05,0.00011983465606299564,0.00013133502988014507
1983-11-30,6.77099999999993e-05,0.00011483209916696713,0.00012128051016589087
1983-12-31,7.651e-05,0.00011700026503396141,0.00013001611587816288
1984-01-31,0.00012073999999999791,0.00013433099713932103,0.00013244501041918344
1984-02-29,7.696e-05,0.00011619581126840488,0.00011839526271029794
1984-03-31,6.981e-05,0.00011570634798710412,0.0001065688871544997
1984-04-30,0.00011629999999999886,0.0001332496889338103,0.00016938089030797023
1984-05-31,8.368e-05,0.00011914927302280386,0.00013532677440076333
1984-06-30,9.306000000000001e-05,0.00012199518577367033,0.00012707946175199379
1984-07-31,0.00013272,0.0001394484387362181,0.00013024557072882913
1984-08-31,0.00021218,0.00016961946378770418,0.0001822847937981135
1984-09-30,6.12299999999993e-05,0.0001099696770899344,0.0001021324895983128
1984-10-31,4.95899999999993e-05,0.00010459596200792159,9.835761169665047e-05
1984-11-30,6.755e-05,0.00011031422275294954,9.35999798737622e-05
1984-12-31,8.163999999999917e-05,0.00011987581371594224,0.00012167338531276307
1985-01-31,5.5799999999999296e-05,0.00010980232287168554,9.529206306159611e-05
1985-02-28,6.85899999999993e-05,0.00011228142364033689,0.00013270195074592555
1985-03-31,9.43799999999993e-05,0.00012423623367307927,0.00014776804537503213
1985-04-30,5.375e-05,0.00010376081201068425,8.475967991256235e-05
1985-05-31,6.489999999999999e-05,0.00010841445075188805,9.192844098909488e-05
1985-06-30,6.209999999999999e-05,0.00010743670181732461,0.00010124775031110275
1985-07-31,4.1099999999999996e-05,9.856985756290613e-05,9.58221115309443e-05
1985-08-31,2.6470000000000002e-05,9.11346119243286e-05,8.421902085144338e-05
1985-09-30,3.704e-05,9.540543321922608e-05,9.123863961623028e-05
1985-10-31,4.398999999999918e-05,9.887134351721554e-05,9.118183767040124e-05
1985-11-30,4.4250000000000005e-05,9.723094602219458e-05,8.002267822556248e-05
1985-12-31,7.968000000000001e-05,0.00011635962682543928,0.00012134827754288015
1986-01-31,0.00010170999999999999,0.00012294945898684538,0.00012990243188675847
1986-02-28,7.248999999999918e-05,0.00010872088497980923,9.110352738822745e-05
1986-03-31,7.915e-05,0.00011537051804663408,0.00014043437544065452
1986-04-30,0.0001509399999999986,0.00014203624772389902,0.00012806593761444403
1986-05-31,0.00010509,0.00012488718808527426,0.00013185039055424282
1986-06-30,0.00012767,0.00013274804222744964,0.0001220771267721283
1986-07-31,0.00011439999999999999,0.00012679011607150988,0.0001116026395909242
1986-08-31,0.00015651999999999919,0.0001464669504317705,0.00015390745649474516
1986-09-30,6.77599999999993e-05,0.00010867826871187932,0.00010906489092756725
1986-10-31,8.49799999999993e-05,0.00011838120741966291,0.00013872149424596462
1986-11-30,9.704e-05,0.00011937081616474824,0.00011981665150269333
1986-12-31,4.182e-05,9.594473894197334e-05,8.707680985998671e-05
1987-01-31,4.865999999999999e-05,9.795608227308419e-05,8.600811773455775e-05
1987-02-28,6.498e-05,0.00010590814427083027,0.00010195675647801194
1987-03-31,6.596e-05,0.00010499732234955074,9.213961431726975e-05
1987-04-30,0.00010037999999999918,0.00012074687202415235,0.00012420208383368456
1987-05-31,4.047999999999999e-05,9.40134979098783e-05,8.78859747243977e-05
1987-06-30,9.421e-05,0.00011689441488464431,0.00011436511824747305
1987-07-31,6.069999999999917e-05,0.00010168467144267515,9.08411315691503e-05
1987-08-31,0.00010729999999999918,0.0001236696503001949,0.000123975069245305
1987-09-30,9.982999999999822e-05,0.0001191350057449203,0.00011417153615360392
1987-10-31,0.0008245899999999963,0.0004433122854164725,0.00028377861703926885
1987-11-30,0.00020352999999999905,0.00016527294483885302,0.0001952309832736755
1987-12-31,0.0001425199999999993,0.00014154593325298517,0.00014544293282516896
1988-01-31,0.00014463999999999997,0.00014022936549999763,0.00012174429481129607
1988-02-29,5.786e-05,0.0001099204315279942,9.276670545048477e-05
1988-03-31,4.8519999999999996e-05,0.00010342836015406781,8.584556578765122e-05
1988-04-30,3.2710000000000004e-05,9.887198040006535e-05,7.945680745089038e-05
1988-05-31,3.65e-05,0.0001011012505022297,8.071966696850242e-05
1988-06-30,7.535e-05,0.00011359402635440085,0.00011191083353533658
1988-07-31,3.104e-05,9.842224326878443e-05,6.826175000000004e-05
1988-08-31,3.078e-05,9.782044199106625e-05,6.617314999999988e-05
1988-09-30,4.274e-05,0.0001009370918416834,7.687859999999975e-05
1988-10-31,0.00010210999999999917,0.00011763113101165911,9.915859999999888e-05
1988-11-30,5.775e-05,0.00010686373795216079,0.00015139184999999946
1988-12-31,6.0639999999999995e-05,0.00010693230087278313,7.908840000000003e-05
1989-01-31,6.32899999999993e-05,0.00010521286933566825,8.293829999999934e-05
1989-02-28,3.4490000000000004e-05,9.72925083088748e-05,4.542271750000009e-05
1989-03-31,2.443e-05,9.265852940047583e-05,4.101174999999993e-05
1989-04-30,4.365e-05,0.00010047327061615344,8.783514999999978e-05
1989-05-31,4.275e-05,9.903536967178456e-05,7.560193333333312e-05
1989-06-30,3.569e-05,9.640181160725357e-05,7.733469999999983e-05
1989-07-31,6.109999999999906e-05,0.00010631855158464316,0.00012338894999999948
1989-08-31,6.0559999999999996e-05,0.00010459594239438532,8.213743333333298e-05
1989-09-30,7.065999999999835e-05,0.00011249099018923021,0.0001539238499999986
1989-10-31,0.00012623,0.00013159388286214656,9.545199999999964e-05
1989-11-30,8.313e-05,0.00011148442752691339,0.00012389134999999955
1989-12-31,7.560000000000001e-05,0.00011040947331184843,0.0001449495499999992
1990-01-31,0.00012391999999999904,0.00013073242731585628,8.538039999999999e-05
1990-02-28,5.952e-05,0.00010423813731385927,8.519149999999971e-05
1990-03-31,0.0001183699999999993,0.00012791727363719278,0.00011473499999999994
1990-04-30,8.01099999999993e-05,0.00011217352009867853,0.0001292834999999994
1990-05-31,9.148e-05,0.0001172256415339477,0.00010917894999999943
1990-06-30,6.48799999999993e-05,0.00010094806265309147,5.335604999999961e-05
1990-07-31,0.0001214199999999993,0.00012419894406121262,0.00011292609999999984
1990-08-31,0.0007610499999999991,0.0003876837776642048,0.000228748299999999
1990-09-30,0.00026743999999999927,0.00017105978109139614,0.0002237785499999994
1990-10-31,0.00030328,0.0001968826587705757,0.00015083104999999937
1990-11-30,0.00011881,0.00012468640058076107,0.00011170469999999918
1990-12-31,0.00011298999999999917,0.0001248935394850195,0.00014707909999999965
1991-01-31,0.00032714999999999925,0.00020868198341138363,0.0002439443999999994
1991-02-28,0.0001743799999999993,0.00015330126929500074,0.00016624119999999906
1991-03-31,0.00015523,0.00014470685034237093,0.00013892784999999932
1991-04-30,0.00012611,0.0001301502352187967,0.00011568169999999966
1991-05-31,9.356e-05,0.00011710626124905547,0.00012733089999999927
1991-06-30,0.00010175999999999905,0.00011853423738607187,0.00013640969999999968
1991-07-31,7.778999999999999e-05,0.00010986325945893031,0.00010018004999999925
1991-08-31,7.45199999999993e-05,0.00010935060854704284,9.817009999999954e-05
1991-09-30,6.038e-05,0.00010479212133195453,9.133309999999982e-05
1991-10-31,9.413e-05,0.00011862333076167542,0.00010208294999999949
1991-11-30,0.00013244999999999918,0.00013218914108494785,0.0001241913999999995
1991-12-31,0.0001656199999999993,0.00014917007566532344,0.0001645840999999991
1992-01-31,0.00013174999999999998,0.00013155628560755094,0.00011890839999999966
1992-02-29,0.00011827999999999878,0.000133271150491647,0.00016355749999999932
1992-03-31,6.242e-05,0.00010387739586375647,6.695312749999943e-05
1992-04-30,0.00010199999999999905,0.00011794525637657714,0.00010705974999999991
1992-05-31,7.874999999999999e-05,0.000112909526141206,0.0001373676499999993
1992-06-30,8.52399999999993e-05,0.00011243376929315145,7.571549999999939e-05
1992-07-31,0.00011671,0.00012620585276667566,0.0001372778999999998
1992-08-31,0.00011462999999999777,0.00012349187743508185,0.00012630777999999985
1992-09-30,7.91e-05,0.00011109518840487058,9.22370799999994e-05
1992-10-31,7.856e-05,0.00010942451132362235,8.422355999999953e-05
1992-11-30,6.934e-05,0.00011029053763421565,7.90456399999998e-05
1992-12-31,0.00010424999999999836,0.00012593072074968412,8.213327999999981e-05
1993-01-31,0.00015674999999999804,0.00014236728803526314,0.00011626248499999967
1993-02-28,0.0001214999999999993,0.00012996602818095488,0.00017779991999999952
1993-03-31,0.0001396699999999993,0.00013251564581663253,0.00010389736000000025
1993-04-30,0.00024074999999999861,0.00017371063561726646,0.00024604967999999883
1993-05-31,0.00011639,0.00012616461624088347,0.00012557613999999957
1993-06-30,0.0002765,0.00018957073813193173,0.00020548855999999883
1993-07-31,9.094999999999835e-05,0.00012356207752487006,0.0001212168399999989
1993-08-31,9.143999999999847e-05,0.00011633060351138792,0.0001712744199999988
1993-09-30,3.7e-05,9.390116865084881e-05,5.414981999999979e-05
1993-10-31,7.433999999999917e-05,0.00011089592453355891,0.00017221903999999847
1993-11-30,0.00014151,0.00013526005956117154,9.395795999999997e-05
1993-12-31,6.179e-05,0.00010676535376840164,8.104045999999951e-05
1994-01-31,8.794e-05,0.00011692013280865368,0.00013842557999999952
1994-02-28,6.0599999999999996e-05,0.00010312411851529099,8.028493399999958e-05
1994-03-31,8.153e-05,0.00011132000846153029,7.921261999999938e-05
